id,nama,kategori
1,Abon,Makanan dan Minuman
2,Abon haruwan,Makanan dan Minuman
3,Agar-agar,Makanan dan Minuman
4,Akar tonjong segar,Makanan dan Minuman
5,Aletoge segar,Makanan dan Minuman
6,Alpukat segar,Makanan dan Minuman
7,Ampas kacang hijau,Makanan dan Minuman
8,Ampas Tahu,Makanan dan Minuman
9,Ampas tahu kukus,Makanan dan Minuman
10,Ampas tahu mentah,Makanan dan Minuman
11,Anak sapi daging gemuk segar,Makanan dan Minuman
12,Anak sapi daging kurus segar,Makanan dan Minuman
13,Anak sapi daging sedang segar,Makanan dan Minuman
14,Andaliman segar,Makanan dan Minuman
15,Andewi,Makanan dan Minuman
16,Anggur hutan segar,Makanan dan Minuman
17,Angsa,Makanan dan Minuman
18,Anyang sayur,Makanan dan Minuman
19,Apel,Makanan dan Minuman
20,Apel malang segar,Makanan dan Minuman
21,Arbei,Makanan dan Minuman
22,Ares sayur,Makanan dan Minuman
23,Arrowroot segar,Makanan dan Minuman
24,Arwan sirsir,Makanan dan Minuman
25,Asam kandis segar,Makanan dan Minuman
26,Asam masak di pohon,Makanan dan Minuman
27,Asam payak segar,Makanan dan Minuman
28,Asan kandis kering,Makanan dan Minuman
29,Asinan Bogor sayuran,Makanan dan Minuman
30,Ayam,Makanan dan Minuman
31,Ayam  goreng Kentuckysayap,Makanan dan Minuman
32,Ayam ampela goreng,Makanan dan Minuman
33,Ayam dideh/darah segar,Makanan dan Minuman
34,Ayam goreng church texa sayap,Makanan dan Minuman
35,Ayam goreng church texas dada,Makanan dan Minuman
36,Ayam goreng kalasan paha,Makanan dan Minuman
37,Ayam goreng kentucky dada,Makanan dan Minuman
38,Ayam goreng Kentucky paha,Makanan dan Minuman
39,Ayam goreng mbok berek dada,Makanan dan Minuman
40,Ayam goreng paha,Makanan dan Minuman
41,Ayam goreng pasundan dada,Makanan dan Minuman
42,Ayam goreng pasundan paha,Makanan dan Minuman
43,Ayam goreng pioneer dada,Makanan dan Minuman
44,Ayam goreng sukabumi dada,Makanan dan Minuman
45,Ayam goreng sukabumi paha,Makanan dan Minuman
46,Ayam hati segar,Makanan dan Minuman
47,Ayam taliwang masakan,Makanan dan Minuman
48,Ayam usus goreng,Makanan dan Minuman
49,Babat,Makanan dan Minuman
50,Babi daging gemuk segar,Makanan dan Minuman
51,Babi daging kurus segar,Makanan dan Minuman
52,Babi ginjal segar,Makanan dan Minuman
53,Babi hati segar,Makanan dan Minuman
54,Babi hutan masak rica masakan,Makanan dan Minuman
55,Bacang,Makanan dan Minuman
56,Bagea kelapa asin,Makanan dan Minuman
57,Bagea kelapa manis,Makanan dan Minuman
58,Bagea kenari asin,Makanan dan Minuman
59,Bagea kenari manis,Makanan dan Minuman
60,Bagea kw 1,Makanan dan Minuman
61,Bagea kw 2,Makanan dan Minuman
62,Baje,Makanan dan Minuman
63,Bakpia kue,Makanan dan Minuman
64,Bakso ,Makanan dan Minuman
65,Bakung segar,Makanan dan Minuman
66,Bakwan,Makanan dan Minuman
67,Baligo,Makanan dan Minuman
68,Bantal,Makanan dan Minuman
69,Barongko,Makanan dan Minuman
70,Batang Tading,Makanan dan Minuman
71,Batar daan,Makanan dan Minuman
72,Batatas gembili segar,Makanan dan Minuman
73,Batatas kelapa ubi bakar,Makanan dan Minuman
74,Batatas kelapa ubi kukus,Makanan dan Minuman
75,Batatas kelapa ubi segar,Makanan dan Minuman
76,Batatas tali ubi rebus,Makanan dan Minuman
77,Bawang Bombay,Makanan dan Minuman
78,Bawang Merah,Makanan dan Minuman
79,Bawang Putih,Makanan dan Minuman
80,Bayam kukus,Makanan dan Minuman
81,Bayam Merah,Makanan dan Minuman
82,Bayam merah segar,Makanan dan Minuman
83,Bayam rebus,Makanan dan Minuman
84,Bayam segar,Makanan dan Minuman
85,Bayam tumis + oncom,Makanan dan Minuman
86,Bayam tumis bersantan,Makanan dan Minuman
87,Bebek (itik),Makanan dan Minuman
88,Bebek alabio daging segar,Makanan dan Minuman
89,Bebek daging goreng,Makanan dan Minuman
90,Beberuk,Makanan dan Minuman
91,Beef burger,Makanan dan Minuman
92,Beef teriyaki masakan,Makanan dan Minuman
93,Beef yakiniku masakan,Makanan dan Minuman
94,Bekasam,Makanan dan Minuman
95,Bekasang,Makanan dan Minuman
96,Belibis daging segar,Makanan dan Minuman
97,Belimbing,Makanan dan Minuman
98,Belitung talas kukus,Makanan dan Minuman
99,Belut goreng,Makanan dan Minuman
100,Belut segar,Makanan dan Minuman
101,Belutlaut segar,Makanan dan Minuman
102,Bengkuang,Makanan dan Minuman
103,Bentul (Komba)  talas segar,Makanan dan Minuman
104,Bentul talas kukus,Makanan dan Minuman
105,Beras Cerdas,Makanan dan Minuman
106,Beras ganyong,Makanan dan Minuman
107,Beras Giling,Makanan dan Minuman
108,Beras Giling masak (nasi) ,Makanan dan Minuman
109,Beras giling mentah,Makanan dan Minuman
110,Beras giling var pelita mentah,Makanan dan Minuman
111,Beras giling var rojolele mentah,Makanan dan Minuman
112,Beras hitam mentah,Makanan dan Minuman
113,Beras jagung kuning kering mentah,Makanan dan Minuman
114,Beras jagung putih kering mentah,Makanan dan Minuman
115,Beras Ketan Hitam,Makanan dan Minuman
116,Beras Ketan Hitam kukus,Makanan dan Minuman
117,Beras Ketan Hitam tape,Makanan dan Minuman
